bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
быть	быть	be	sein, werden	imperfective		бу'дь	бу'дьте	бы'л	была'	бы'ло	бы'ли	есть	есть	есть	есть	есть	есть
сказать	сказа'ть	say, tell, speak, talk	sagen, mitteilen	perfective	говорить	скажи'	скажи'те	сказа'л	сказа'ла	сказа'ло	сказа'ли	скажу'	ска'жешь	ска'жет	ска'жем	ска'жете	ска'жут
мочь	мочь	be able, can	können, imstande sein, dürfen	imperfective	смочь	моги'	моги'те	мо'г	могла'	могло'	могли'	могу'	мо'жешь	мо'жет	мо'жем	мо'жете	мо'гут
знать	знать	know, be aware, be acquainted, have a knowledge, aristocracy, nobility, the elite, evidently, it seems	wissen, kennen, sich auskennen, Bescheid wissen, können, verstehen, beherrschen	imperfective	узнать	зна'й	зна'йте	зна'л	зна'ла	зна'ло	зна'ли	зна'ю	зна'ешь	зна'ет	зна'ем	зна'ете	зна'ют
говорить	говори'ть	speak, talk gapirish	sprechen, reden, sagen	imperfective	сказать;поговорить	говори'	говори'те	говори'л	говори'ла	говори'ло	говори'ли	говорю'	говори'шь	говори'т	говори'м	говори'те	говоря'т
есть	есть	eat	essen, fressen	imperfective	съесть;поесть	е'шь	е'шьте	е'л	е'ла	е'ло	е'ли	е'м	е'шь	е'ст	еди'м	еди'те	едя'т
хотеть	хоте'ть	want; to feel like	wollen, möchten, Lust haben	imperfective	захотеть	хоти'	хоти'те	хоте'л	хоте'ла	хоте'ло	хоте'ли	хочу'	хо'чешь	хо'чет	хоти'м	хоти'те	хотя'т
видеть	ви'деть	see	sehen; treffen, begegnen	imperfective	завидеть;увидеть	ви'дь	ви'дьте	ви'дел	ви'дела	ви'дело	ви'дели	ви'жу	ви'дишь	ви'дит	ви'дим	ви'дите	ви'дят
идти	идти'	go, walk	gehen, kommen, folgen, fahren, abgehen, fuhren, vergehen, stattfinden, laufen, gezeigt werden, stehen, passen	imperfective	-	иди'	иди'те	шёл	шла'	шло'	шли'	иду'	идёшь	идёт	идём	идёте	иду'т
стоять	стоя'ть	stand	stehen, halten, anhalten, andauern, sein, herrschen; einstehen, eintreten für, sich einsetzen für	imperfective	постоять	сто'й	сто'йте	стоя'л	стоя'ла	стоя'ло	стоя'ли	стою'	стои'шь	стои'т	стои'м	стои'те	стоя'т
думать	ду'мать	think, consider, reflect, ponder, believe, intend	denken, überlegen, nachdenken, meinen, glauben, beabsichtigen; erinnern; nachdenken	imperfective	подумать	ду'май	ду'майте	ду'мал	ду'мала	ду'мало	ду'мали	ду'маю	ду'маешь	ду'мает	ду'маем	ду'маете	ду'мают
спросить	спроси'ть	ask, inquire, demand	fragen, eine Frage stellen, sich erkundigen, bitten, abfragen	perfective	спрашивать	спроси'	спроси'те	спроси'л	спроси'ла	спроси'ло	спроси'ли	спрошу'	спро'сишь	спро'сит	спро'сим	спро'сите	спро'сят
